Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
B012,U02,Day02,2021-06-15,1,179,19.96666667,0.51617651,0.12820163,1.00464786,0.534034524,0.22908119,100.6550981,0.6691,1.662480838
B011,U02,Day03,2021-06-16,1,185,21.76666667,0.52045725,0.12516703,1.13951272,0.550042683,0.211915518,113.1434455,0.48981,1.980965486
B014,U03,Day01,2021-06-14,1,194,18.76666667,NA,NA,NA,0.541415447,0.224688255,113.1507128,0.58195,1.573759064
B016,U03,Day04,2021-06-17,1,209,20.83333333,0.52390311,0.12938674,1.23175501,0.563939616,0.202235649,121.7391855,0.30439,2.215700566
B013,U03,Day05,2021-06-18,2,189,20.5,0.52529716,0.14095035,1.34743611,0.56974183,0.203353179,131.6573941,0.33476,2.019023704
B017,U03,Day07,2021-06-20,2,155,20.3,0.52779098,0.15687976,0.43819403,0.593392879,0.222006534,50.90684144,0.33598,1.999448092
B015,U03,Day08,2021-06-21,2,186,20.16666667,0.52650769,0.14956886,0.70256834,0.582608972,0.216361975,76.15947715,0.25219,2.074616559
B018,U03,Day14,2021-06-27,4,176,18.36666667,0.52715372,0.12035813,0.67881089,0.583588441,0.198165933,74.32331413,0.11217,2.13519663
B024,U04,Day02,2021-06-15,1,147,20.2,0.51979993,0.11868048,1.11636609,0.546897682,0.209892168,110.8248928,0.48479,1.593348633
B020,U04,Day03,2021-06-16,1,125,21.03333333,0.52270818,0.12288612,1.29986558,0.557066758,0.199881029,126.0562677,0.39965,1.558071444
B019,U04,Day04,2021-06-17,1,157,22.23333333,0.52432825,0.13259022,1.2706801,0.565506575,0.202073799,124.8349292,0.30943,1.933409843
B023,U04,Day04,2021-06-17,1,150,22.36666667,0.51921597,0.09600814,0.95583036,0.545028583,0.199069874,96.90087679,0.32749,1.954042201
B021,U04,Day05,2021-06-18,2,128,20.7,0.52752713,0.14407735,1.4369111,0.578750826,0.196627109,139.4487911,0.22106,1.706543795
B022,U04,Day07,2021-06-20,2,150,21.53333333,0.52789043,0.13800417,1.1971639,0.581900829,0.196749669,120.627342,0.25854,1.881505164
B028,U05,Day02,2021-06-15,1,203,19.73333333,0.51863249,0.12052788,1.15572786,0.541289959,0.21403382,113.533466,0.63038,1.685692898
B031,U05,Day05,2021-06-18,2,177,22.53333333,0.52548778,0.13992059,1.34486862,0.5704373,0.201973466,131.375951,0.3218,1.852841215
B029,U05,Day06,2021-06-19,2,196,21.8,0.5266114,0.1406242,1.31073674,0.575702089,0.199949613,129.3548928,0.18828,2.116481592
B026,U05,Day08,2021-06-21,2,173,21.7,0.527670176,0.152240472,0.89429073,0.584818049,0.214372646,76.0021997,0.21352,1.982328933
B027,U05,Day09,2021-06-22,3,166,22.3,0.52763747,0.14495919,0.68412882,0.587179565,0.211802433,75.16000165,0.22289,2.018300688
B030,U05,Day10,2021-06-23,3,179,21.33333333,0.52673049,0.15914839,0.7921458,0.582359123,0.21782276,83.31953576,0.15544,1.965278738
B034,U06,Day03,2021-06-16,1,168,22.56666667,0.52113131,0.14343612,1.43195696,0.55065081,0.216937319,136.3256985,0.41822,1.93448308
B033,U06,Day06,2021-06-19,2,172,21.8,0.52583061,0.14837509,1.39868668,0.572258218,0.205559267,136.0362871,0.34564,1.878814959
B032,U06,Day10,2021-06-23,3,143,21.43333333,0.52584789,0.16782807,0.44243581,0.585683065,0.227445445,49.07738045,0.11573,1.874420824
B035,U06,Day11,2021-06-24,3,132,20.26666667,0.52553859,0.18784738,0.36364181,0.588364301,0.239860281,41.08201073,0.10803,2.091182804
B037,U06,Day12,2021-06-25,3,155,20.4,0.52629656,0.15907277,0.63018918,0.582694215,0.220711094,67.68469234,0.08171,2.148783786
B036,U06,Day13,2021-06-26,4,149,20.46666667,0.520842859,0.230438529,0.257333412,0.577853852,0.277546934,25.47900525,0.04806,2.264223455
B039,U07,Day01,2021-06-14,1,140,21.23333333,0.52263283,0.14812754,1.4376194,0.557771462,0.21485758,137.5106681,0.653,1.447367116
B041,U07,Day04,2021-06-17,1,161,21.23333333,0.52494637,0.15510841,1.24748261,0.57055048,0.215127723,123.6457698,0.40196,2.04659053
B040,U07,Day07,2021-06-20,2,130,19.83333333,0.52585025,0.15871434,0.62714634,0.581075297,0.220839735,67.08074565,0.23388,2.09672683
B043,U07,Day11,2021-06-24,3,137,18.7,0.52515278,0.16576972,0.5562912,0.579163197,0.224787013,58.85346768,0.1979,2.071607378
B038,U07,Day12,2021-06-25,3,132,19.3,0.52251176,0.20110691,0.34389524,0.578112396,52.78933411,38.21097555,0.21289,2.093118822
B042,U07,Day14,2021-06-27,4,109,19.1,0.51227776,0.34928056,0.15184866,0.562414467,0.347734216,16.08062326,0.04891,2.236726935
B051,U08,Day03,2021-06-16,1,129,21.66666667,0.52152493,0.14970986,1.35523433,0.554105179,0.221104169,131.0112783,0.43636,1.688026824
B045,U08,Day04,2021-06-17,1,132,22,0.5239359,0.17243384,1.31488666,0.567287312,0.228436863,129.2504116,0.39832,2.104310772
B049,U08,Day05,2021-06-18,2,114,21.53333333,0.52603012,0.16165034,0.78962291,0.580591932,0.223338007,84.24029576,0.28897,2.029868087
B046,U08,Day06,2021-06-19,2,105,20.43333333,0.52645071,0.16428337,0.51017533,0.586636228,0.225887202,56.87066156,0.31559,1.737366119
B047,U08,Day07,2021-06-20,2,116,20.73333333,0.52579964,0.18480969,0.37221526,0.588772493,0.237266373,41.90184354,0.34561,2.005858626
B048,U08,Day09,2021-06-22,3,95,20.2,0.52238452,0.25117205,0.1968339,0.590799613,0.27183895,22.4360983,0.20466,1.889994529
B050,U08,Day10,2021-06-23,3,85,19.4,0.51637377,0.3206776,0.16730392,0.575314738,0.323338672,18.38820687,0.12008,1.950050503
B044,U08,Day16,2021-06-29,4,88,19.26666667,0.51257367,0.35464674,0.1405302,0.56591287,0.345401446,14.7262972,0.0878,NA
B057,U09,Day04,2021-06-17,1,145,21.13333333,0.52376098,0.14620205,NA,0.562318048,0.209530847,139.4541841,0.35504,1.696265985
B055,U09,Day05,2021-06-18,2,135,21.06666667,0.52566571,0.13367281,1.39679032,0.569781977,0.19557754,134.575783,0.32038,1.723277647
B052,U09,Day11,2021-06-24,3,133,20.06666667,0.52536118,0.15816427,0.75893309,0.577250612,0.2216149,79.89437278,0.15608,1.93234201
B054,U09,Day14,2021-06-27,4,110,18.93333333,0.51577218,0.31642038,0.16049374,0.573392166,0.31915155,17.36844353,0.10778,2.362385179
B053,U09,Day15,2021-06-28,4,123,19,0.51869013,0.2589747,0.19919311,0.575582449,0.283618535,21.63498531,0.04286,2.434911229
