Fruit.id,Fruit.batch,Fruit.bush,Day ,Date,Ripeness.stage,Mean.weight,Sum.weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
D01-C01,U01,Yellow1,Day01,2021-07-06,1,0.258,1.29,11.1,0.5109171,0.22012807,NA,0.540058601,0.282221838,35.17179117,0.375,2.563754593
D01-C02,U01,Blue2,Day01,2021-07-06,1,0.226,1.13,10.2,0.5131253,0.23152398,0.30323328,0.533296424,0.332792512,21.02794903,0.246,2.411232826
D01-C03,U01,Pink3,Day01,2021-07-06,1,0.234,1.17,11.4,0.5105853,0.21779289,0.38756293,0.533114144,0.284448919,35.70371154,0.233,2.614427925
D01-C04,U01,Orange4,Day01,2021-07-06,1,0.28,1.4,9.6,0.517153,0.29163951,0.25515912,0.566418873,0.30898401,28.86470828,0.301,2.489723454
D01-C05,U01,Red5,Day01,2021-07-06,1,0.226,1.13,9.5,0.5125005,0.23231503,0.3444126,0.634381218,0.421476531,32.72129907,0.308,2.396664286
D02-C01,U02,Yellow1,Day02,2021-07-07,1,0.3,1.5,9.6,0.5120316,0.22388714,0.35946315,0.542296557,0.27963247,32.17353792,0.215,2.277791832
D02-C02,U02,Blue2,Day02,2021-07-07,1,0.328,1.64,10.2,0.5178726,0.37997606,0.17870579,0.577669043,0.336737355,17.59275106,0.165,2.123381723
D02-C03,U02,Pink3,Day02,2021-07-07,1,0.224,1.12,9.6,0.5119766,0.22787083,0.36020845,0.540061124,0.287991798,33.67957937,0.068,2.301726533
D02-C04,U02,Orange4,Day02,2021-07-07,1,0.338,1.69,11.9,0.5107723,0.20932396,0.42238307,0.531016453,0.283051456,40.17603355,0.103,2.457857462
D02-C05,U02,Red5,Day02,2021-07-07,1,0.28,1.4,9.5,0.5084255,0.32911669,0.26626074,0.541498103,0.361238137,25.63245033,0.184,2.744074319
D03-C01,U03,Yellow1,Day03,2021-07-08,1,0.346,1.73,9.9,0.5135542,0.24640027,0.39078475,0.548909099,0.28969042,39.07675236,0.36,2.441364951
D03-C02,U03,Blue2,Day03,2021-07-08,1,0.276,1.38,10.6,0.5150642,0.32546922,0.24631131,0.564881605,0.327978688,23.09981882,0.333,2.545367014
D03-C03,U03,Pink3,Day03,2021-07-08,1,0.29,1.45,10.7,0.5108959,0.27355267,0.33002947,0.540085879,0.322149761,32.34723869,0.379,2.60397345
D03-C04,U03,Orange4,Day03,2021-07-08,1,0.258,1.29,10.1,0.5171517,0.32552755,0.18501641,0.574158131,0.325352228,19.80513678,0.265,2.530650091
D03-C05,U03,Red5,Day03,2021-07-08,1,0.366,1.83,8.8,0.5054642,0.32581874,0.30511223,0.53163898,0.339315299,29.87196189,0.416,2.330171798
D04-C01,U04,Yellow1,Day04,2021-07-09,1,0.36,1.8,9.2,0.5113508,0.287481,0.28414264,0.541966188,0.327999651,32.88274935,0.433,2.521814501
D04-C02,U04,Blue2,Day04,2021-07-09,1,0.348,1.74,9.9,0.5096271,0.20585653,0.34203214,0.530752004,0.275251631,30.63410016,0.564,2.241214357
D04-C03,U04,Pink3,Day04,2021-07-09,1,0.316,1.58,11.7,0.511083,0.2473009,0.37970151,0.537478218,0.310882354,35.50886284,0.285,2.553922543
D04-C04,U04,Orange4,Day04,2021-07-09,1,0.392,1.96,NA,0.5117519,0.29510677,0.28281,0.538944197,0.348401945,24.14388543,0.417,2.456371847
D04-C05,U04,Red5,Day04,2021-07-09,1,0.466,2.33,8.1,0.5065992,0.24518428,0.34800217,0.524357617,0.320066571,32.64579118,0.439,2.633323902
D05-C01,U05,Yellow1,Day05,2021-07-10,2,0.342,1.71,10.1,0.5141637,0.23502548,0.3682581,0.543646643,0.302305019,42.00767997,0.439,2.394162205
D05-C02,U05,Blue2,Day05,2021-07-10,2,0.36,1.8,8.1,0.501447,0.47731588,0.10595359,0.541775723,0.414404538,9.847257303,0.564,2.607541945
D05-C03,U05,Pink3,Day05,2021-07-10,2,0.256,1.28,10.3,0.5128427,0.22156744,0.32888813,0.550595961,0.293631155,30.0740625,0.285,2.491644093
