Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
M001,U01,Day01,2021-07-29,1,557,NA,0.5192202,0.17884954,0.55722348,0.559722187,0.256472104,61.53393463,1.53168,0
M003,U01,Day02,2021-07-30,1,439,14.16666667,NA,0.19729572,0.46435178,0.503327564,0.308207676,49.05528227,0.89817,0
M005,U01,Day04,2021-08-01,1,487,17.83333333,0.5557631,0.30522459,0.33588377,0.690064792,0.24756594,46.30123785,0.22687,0
M002,U01,Day05,2021-08-02,2,424,16.63333333,0.5283467,0.11779868,0.62289097,0.589351568,0.196616535,70.12166265,0.27103,0
M006,U01,Day06,2021-08-03,2,506,17.93333333,0.537021,0.12311405,0.45932744,NA,NA,NA,0.26872,0
M007,U01,Day07,2021-08-04,2,432,17,0.5538214,0.17852355,0.35037324,0.679062081,0.187593569,47.10016767,0.08501,0
M004,U01,Day08,2021-08-05,2,401,22.93333333,0.5320653,0.13319551,0.38035484,0.752882447,0.483711236,37.00075388,0.24547,0
M009,U01,Day13,2021-08-10,4,450,17.13333333,0.5421203,0.10116192,0.40793819,0.639856413,0.161434546,50.17589017,0.12424,1.47087098
M008,U01,Day15,2021-08-12,4,351,19.76666667,0.5466564,0.13900553,0.27616011,0.659769866,0.172539142,35.52747341,0.23215,1.674367412
M011,U02,Day01,2021-07-29,1,524,14.63333333,NA,0.27712417,0.37380618,0.500854749,0.364790816,39.50511342,1.28182,0
M010,U02,Day03,2021-07-31,1,483,19.76666667,0.5200745,0.15701396,0.42232739,0.565283518,0.239763836,47.81575152,0.52576,0
M013,U02,Day04,2021-08-01,1,560,17.8,0.5293246,0.15199177,0.59043134,0.595874311,0.215687643,67.62060579,0.325,0
M012,U02,Day05,2021-08-02,2,482,19.53333333,0.5085955,0.27550035,0.28410251,0.531895047,0.337025974,30.94774626,0.67194,0.583769693
M016,U02,Day05,2021-08-02,2,433,19.13333333,0.5569284,0.20773248,0.45144406,0.68800053,0.195558625,60.66448118,0.24845,0
M017,U02,Day07,2021-08-04,2,497,18.76666667,0.5512361,0.26213096,0.39108046,0.675055195,0.233934333,52.10501396,0.2802,0.686210712
M018,U02,Day12,2021-08-09,3,438,21.2,0.5242727,0.19765918,0.21319996,0.593204213,0.238799763,24.62864673,0.02942,1.957216486
M014,U02,Day13,2021-08-10,4,431,17.03333333,0.5235344,0.23224284,0.19653398,0.593770875,0.257610703,22.40782694,0.2543,2.315146787
M015,U02,Day15,2021-08-12,4,366,NA,0.5227873,0.24215879,0.20704735,0.590245466,0.267301897,23.46014488,0.124,1.494906785
M020,U03,Day01,2021-07-29,1,473,12.3,0.516385,0.22262266,0.43961448,0.55474035,0.290397227,49.27051287,1.03349,0
M025,U03,Day03,2021-07-31,1,412,15.53333333,0.5247905,0.1754535,0.44955556,0.583547485,0.241189232,52.01986865,0.19473,1.290982926
M022,U03,Day08,2021-08-05,2,440,19.2,0.5465219,0.09609675,0.53787189,0.811032656,0.433569145,53.4886097,0.14525,0
M021,U03,Day10,2021-08-07,3,377,19.9,0.514955091,NA,0.187540983,0.572766137,0.367173626,20.79805949,0.16023,2.471967165
M019,U03,Day11,2021-08-08,3,433,22.86666667,0.555898,0.22523432,0.37334692,0.686409239,0.207666712,50.79505452,0.27992,0
M024,U03,Day12,2021-08-09,3,446,20.36666667,0.540229,0.13078426,0.35944146,0.636660145,0.178210325,43.64144278,0.19756,0
M023,U03,Day13,2021-08-10,4,424,23.23333333,0.5466874,0.12401562,0.45012599,0.654338347,0.169221928,57.07942145,0.16756,0
M027,U03,Day14,2021-08-11,4,345,17,0.5573453,0.11035796,0.44473373,0.684826812,0.146217867,59.06274934,0.19814,0
M026,U03,Day16,2021-08-13,4,375,17.2,0.5304694,0.24535982,0.19296696,0.619862283,0.248377798,22.65705127,0.03496,0.658109988
M029,U04,Day01,2021-07-29,1,439,14.73333333,0.5279869,0.24943957,0.34407829,0.602438692,0.274200898,41.12939118,1.13974,0
M028,U04,Day02,2021-07-30,1,514,16.7,0.5142688,0.18696111,0.4509756,0.543474411,0.274105681,49.78079213,0.49319,0
M036,U04,Day03,2021-07-31,1,471,15.16666667,0.5661328,0.1938674,0.29750079,0.667973363,0.219762147,51.45604173,0.77006,0.382757274
M030,U04,Day06,2021-08-03,2,454,20.66666667,0.5184784,0.19279189,0.39621169,0.562277085,0.265559085,44.93689855,0.20109,0.832571262
M031,U04,Day08,2021-08-05,2,441,21.56666667,0.5437015,0.12938762,0.62567588,0.788501369,0.436011952,61.66584649,0.2741,0
M035,U04,Day11,2021-08-08,3,437,21.1,0.556831,0.16072093,0.39115573,0.686259848,0.172883657,52.56566948,0.17575,0
M034,U04,Day12,2021-08-09,3,418,20.76666667,0.5437308,NA,0.53926158,0.641670592,0.144859266,65.48801944,0.22675,0.220710999
M033,U04,Day14,2021-08-11,4,475,16.93333333,0.5532263,0.14693887,0.32666557,0.676916846,0.170676382,43.54073407,0.25126,0.7570916
M032,U04,Day16,2021-08-13,4,384,20.7,0.5484816,0.09116597,0.59647447,0.657180803,0.144542013,73.49287392,0.11739,1.037417957
M044,U05,Day01,2021-07-29,1,418,NA,0.5548647,0.11144997,0.46391854,0.614082851,0.308878371,34.89105062,1.30739,0
M041,U05,Day04,2021-08-01,1,430,18.2,0.5333884,0.14053386,0.55734057,0.642132243,0.189123162,72.08456143,0.4199,1.312751363
M042,U05,Day05,2021-08-02,2,433,18.23333333,0.5470591,0.10844041,0.43432466,0.610217892,0.200869017,65.30276853,0.19917,2.306376597
M040,U05,Day07,2021-08-04,2,418,18.93333333,0.5426181,0.1552072,0.5962777,0.653308643,0.194550563,57.41004796,0.10454,0
M039,U05,Day08,2021-08-05,2,440,23.6,0.5456133,0.16813994,0.45243618,0.555216328,0.225650108,49.86460282,0.26648,0.605109375
M037,U05,Day10,2021-08-07,3,475,18.63333333,NA,0.11073195,0.43197789,0.712828299,0.176731258,42.64740409,0.29723,0.785950302
M045,U05,Day12,2021-08-09,3,413,19.63333333,0.5468028,0.10977312,0.51348035,0.677857797,0.14958729,60.58854,0.24674,0.500402424
M038,U05,Day14,2021-08-11,4,452,20.7,0.5182214,0.12593913,0.44676125,0.674600046,0.149908925,55.96919476,0.20937,0
M043,U05,Day16,2021-08-13,4,396,20.66666667,0.530505334,0.329527988,0.303843275,0.655655202,0.155432691,53.89570107,0.09568,1.204485731
M047,U06,Day01,2021-07-29,1,536,15.6,0.5442421,0.10153828,0.38509991,0.612578951,0.308318586,35.96378765,1.43426,1.374086796
M052,U06,Day03,2021-07-31,1,552,16.66666667,0.512637481,0.335670324,NA,0.521551345,0.272071314,47.65992804,0.38461,1.44888032
M054,U06,Day05,2021-08-02,2,473,19.3,0.5336845,0.19077885,0.30057492,0.587102552,0.211234316,60.00689704,0.28748,1.850845726
M050,U06,Day06,2021-08-03,2,454,18.33333333,0.5262554,0.20521116,0.27920071,0.597115391,0.21227978,53.8507586,0.47818,NA
M049,U06,Day08,2021-08-05,2,473,14.93333333,0.5291335,0.14334695,0.45929206,0.813929966,0.457928118,53.35970377,0.21571,0.969321395
M046,U06,Day10,2021-08-07,3,450,20.33333333,0.528483083,0.335514049,0.300856692,0.653467591,0.159226072,63.94253404,0.27558,0.535705327
M051,U06,Day13,2021-08-10,4,506,19.63333333,0.5093678,0.16449492,0.44349996,0.595446669,0.245547964,32.00428557,0.2628,0.405599918
M048,U06,Day14,2021-08-11,4,417,19.76666667,0.5432519,0.07816637,0.56165518,0.647294089,0.156562882,47.6236492,0.17923,0.684097796
M053,U06,Day16,2021-08-13,4,416,13.03333333,0.5269392,0.13363982,0.5231072,0.561926537,0.341606522,17.72176785,0.02387,1.579662404
M057,U07,Day01,2021-07-29,1,486,15.26666667,0.5125478,0.21726117,0.38025074,0.540732446,0.295520592,42.0439957,0.96245,0
M062,U07,Day03,2021-07-31,1,528,18.1,0.5250464,0.15501546,0.4635263,0.582734274,0.228054732,53.30866768,0.27469,0
M061,U07,Day08,2021-08-05,2,454,18.66666667,0.538657894,0.105007723,0.625519724,0.790101921,0.475019275,79.44594891,0.18077,0.593389076
M056,U07,Day10,2021-08-07,3,422,13.53333333,0.5504807,0.16793035,0.43240049,0.668035838,0.186696862,56.34312093,0.14203,0.636969521
M059,U07,Day11,2021-08-08,3,401,21.06666667,0.5587012,0.18009064,0.35315176,0.692377831,0.180682206,48.44309877,0.24447,0.867093044
M058,U07,Day13,2021-08-10,4,404,21.46666667,0.5439967,0.08544801,0.50050849,0.643397772,0.150750602,61.5547985,0.14053,0.568048485
M055,U07,Day14,2021-08-11,4,386,21.3,0.5492454,0.22849277,0.39228233,0.620031048,0.222767986,35.67670612,0.07572,0.02333011
M063,U07,Day15,2021-08-12,4,384,20.93333333,0.510803211,NA,NA,0.558488954,0.357207757,17.03145845,0.05316,1.312827362
M060,U07,Day16,2021-08-13,4,359,NA,0.5373754,0.16075666,0.37803995,0.628399364,0.198715617,44.75400919,0.09535,0.449586475
M068,U08,Day01,2021-07-29,1,523,16.3,0.514377,0.19893852,0.43577742,0.545084872,0.280744262,48.19945426,1.13566,0
M071,U08,Day02,2021-07-30,1,488,17.8,0.5219631,0.19272584,0.49367986,0.573032284,0.258477121,56.14682653,0.27968,0
M065,U08,Day04,2021-08-01,1,469,19,0.5263741,0.15938581,0.44492784,0.588478784,0.227371791,51.73637304,0.3393,0
M067,U08,Day05,2021-08-02,2,492,20.1,0.5102549,0.21134193,0.36768618,0.531404237,0.297111836,40.2465595,0.87038,0
M072,U08,Day08,2021-08-05,2,439,19.26666667,0.5532827,0.1276517,0.55884168,0.810571411,0.392367791,59.24123405,0.09317,0.847506933
M070,U08,Day10,2021-08-07,3,409,16.16666667,0.535234,0.12950209,0.34609136,0.620292861,0.188861192,41.76086035,0.05685,1.834693683
M064,U08,Day11,2021-08-08,3,465,19.23333333,0.5371344,0.14807353,0.30775172,0.629064079,0.193500248,37.39424858,NA,1.882391709
M069,U08,Day15,2021-08-12,4,400,18.96666667,0.5386583,0.10165004,0.38412561,0.629116981,NA,46.03758735,0.22424,0
M066,U08,Day16,2021-08-13,4,431,20.53333333,0.5405528,0.18205395,0.34999851,0.640544239,0.207765915,43.05475886,0.11481,1.965243877
M077,U09,Day02,2021-07-30,1,413,14.36666667,0.5217099,0.28488771,0.35492515,0.581571176,0.311969579,41.49089505,NA,0.211504059
M076,U09,Day03,2021-07-31,1,459,16.63333333,0.5083025,0.16490648,0.39802964,0.518605436,0.273330969,42.75169148,1.02186,0
M080,U09,Day07,2021-08-04,2,409,20.93333333,0.5566151,0.1632369,0.38331735,0.685564221,0.175330148,51.81163797,0.23871,0.68802544
M081,U09,Day08,2021-08-05,2,440,19.23333333,0.5433566,0.09005558,0.673178,0.810326125,0.455419592,62.98170523,0.21118,0.960651065
M074,U09,Day09,2021-08-06,3,483,17.6,0.539069,0.08760753,0.49820367,0.796697142,0.473161048,47.2032713,0.1315,0.514997144
M078,U09,Day12,2021-08-09,3,400,22.16666667,0.5447733,0.18330574,0.41900949,0.652324573,0.20228829,52.5613649,0.17531,1.604840585
M073,U09,Day14,2021-08-11,4,375,21.36666667,0.5468677,0.09458679,0.51953876,0.652782494,0.150909422,64.56848879,0.14368,0.649246333
